이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
환율하락 수혜,1.18,현대제철,7.5,혜인,-4.43
마이데이터,1.15,핑거,4.17,유비벨록스,-2.56
그래핀,1.14,오리엔트정공,4.75,엑사이엔씨,-2.44
통신장비,1.11,알엔투테크놀로지,11.16,오늘이엔엠,-3.66
딥페이크(deepfake),1.11,라온시큐어,3.75,M83,-2.28
시멘트/레미콘,1.1,삼표시멘트,3.83,한일시멘트,-1.42
구제역/광우병 수혜,1.09,마니커,15.76,대성미생물,-1.61
카지노,1.09,롯데관광개발,2.85,강원랜드,-0.21
광통신(광케이블/광섬유 등),1.07,자람테크놀로지,4.18,빛과전자,-2.67
여름,1.06,마니커,15.76,한울앤제주,-14.56
제습기,1.06,에스피지,2.66,삼성전자,0.0
리비안(RIVIAN),1.06,폴라리스세원,4.67,피엔티,-1.17
면세점,1.03,토니모리,5.43,신세계,-1.37
자동차 대표주,1.02,기아,2.59,현대모비스,-0.1
모바일콘텐츠(스마트폰/태블릿PC),1.02,키다리스튜디오,8.82,YBM넷,-2.95
서울고속버스터미널 재개발 수혜,1.01,대성산업,2.63,신세계,-1.37
농업,1.0,우림피티에스,3.33,인바이오,-0.49
아프리카 돼지열병(ASF),1.0,마니커,15.76,코미팜,-5.82
5G(5세대 이동통신),0.98,이수페타시스,6.26,아이크래프트,-11.71
키오스크(KIOSK),0.98,푸른로보틱스,5.41,파버나인,-2.18
공기청정기,0.97,오텍,5.0,성호전자,-1.39
블록체인,0.97,아이티센글로벌,6.86,SK텔레콤,-3.32
2차전지(전고체),0.96,미코,13.76,이브이첨단소재,-4.39
요소수,0.96,KG케미칼,2.55,유니온,0.33
공작기계,0.95,화천기계,6.32,서암기계공업,-2.59
재택근무/스마트워크,0.95,제이씨현시스템,4.67,NHN,-5.71
종합 물류,0.94,현대글로비스,7.39,STX그린로지스,-4.35
보안주(물리),0.93,벨로크,5.13,픽셀플러스,-2.11
일자리(취업),0.93,TS인베스트먼트,4.11,오픈놀,-3.09
부동산 보유 자산주,0.91,서부T&D,5.5,DI동일,-2.38
사료,0.89,한탑,5.77,오에스피,-1.67
도시가스,0.89,지에스이,2.05,대성홀딩스,0.29
비료,0.89,KG케미칼,2.55,체시스,-0.25
